Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Huisken, Jan; Swoger, Jim; Del Bene, Filippo; Wittbrodt, Joachim; Stelzer, Ernst HK; ",Optical sectioning deep inside live embryos by selective plane illumination microscopy,Science,305,5686,1007-1009,2004,American Association for the Advancement of Science
"Hell, Stefan; Reiner, G; Cremer, Christoph; Stelzer, Ernst HK; ",Aberrations in confocal fluorescence microscopy induced by mismatches in refractive index,Journal of microscopy,169,3,391-405,1993,"Blackwell Publishing Ltd Oxford, UK"
"Hell, Stefan; Stelzer, Ernst HK; ",Properties of a 4Pi confocal fluorescence microscope,JOSA A,9,12,2159-2166,1992,Optica Publishing Group
"Pampaloni, Francesco; Reynaud, Emmanuel G; Stelzer, Ernst HK; ",The third dimension bridges the gap between cell culture and live tissue,Nature reviews Molecular cell biology,8,10,839-845,2007,Nature Publishing Group UK London
"Bacallao, Robert; Antony, Claude; Dotti, Carlos; Karsenti, Eric; Stelzer, EH; Simons, Kai; ",The subcellular organization of Madin-Darby canine kidney cells during the formation of a polarized epithelium.,The Journal of cell biology,109,6,2817-2832,1989,
"Keller, Philipp J; Schmidt, Annette D; Wittbrodt, Joachim; Stelzer, Ernst HK; ",Reconstruction of zebrafish early embryonic development by scanned light sheet microscopy,science,322,5904,1065-1069,2008,American Association for the Advancement of Science
"van Meer, Gerrit; Stelzer, EH; Wijnaendts-van-Resandt, Roel W; Simons, Kai; ",Sorting of sphingolipids in epithelial (Madin-Darby canine kidney) cells.,The Journal of cell biology,105,4,1623-1635,1987,
"White, Jamie; Johannes, Ludger; Mallard, Frédéric; Girod, Andreas; Grill, Stephan; Reinsch, Sigrid; Keller, Patrick; Tzschaschel, Barbara; Echard, Arnaud; Goud, Bruno; ",Rab6 coordinates a novel Golgi to ER retrograde transport pathway in live cells,The Journal of cell biology,147,4,743-760,1999,The Rockefeller University Press
"Chavrier, Philippe; Gorvel, Jean-Pierre; Stelzer, Ernst; Simons, Kai; Gruenberg, Jean; Zerial, Marino; ",Hypervariable C-termmal domain of rab proteins acts as a targeting signal,Nature,353,6346,769-772,1991,Nature Publishing Group UK London
"Hell, Stefan; Stelzer, Ernst HK; ",Fundamental improvement of resolution with a 4Pi-confocal fluorescence microscope using two-photon excitation,Optics Communications,93,5-6,277-282,1992,North-Holland
"Verde, Fulvia; Dogterom, Marileen; Stelzer, Ernst; Karsenti, Eric; Leibler, Stanislas; ",Control of microtubule dynamics and length by cyclin A-and cyclin B-dependent kinases in Xenopus egg extracts.,The Journal of cell biology,118,5,1097-1108,1992,
"Zink, Daniele; Cremer, Thomas; Saffrich, Rainer; Fischer, Roger; Trendelenburg, Michael F; Ansorge, Wilhelm; Stelzer, Ernst HK; ",Structure and dynamics of human interphase chromosome territories in vivo,Human genetics,102,,241-251,1998,Springer-Verlag
"Grill, Stephan W; GoÈnczy, Pierre; Stelzer, Ernst HK; Hyman, Anthony A; ",Polarity controls forces governing asymmetric spindle positioning in the Caenorhabditis elegans embryo,Nature,409,6820,630-633,2001,Nature Publishing Group UK London
"Pralle, A; Prummer, M; Florin, E‐L; Stelzer, EHK; Hörber, JKH; ",Three‐dimensional high‐resolution particle tracking for optical tweezers by forward scattered light,Microscopy research and technique,44,5,378-386,1999,"John Wiley & Sons, Inc. New York"
"Storrie, Brian; White, Jamie; Röttger, Sabine; Stelzer, Ernst HK; Suganuma, Tatsuo; Nilsson, Tommy; ",Recycling of Golgi-resident glycosyltransferases through the ER reveals a novel pathway and provides an explanation for nocodazole-induced Golgi scattering,The Journal of cell biology,143,6,1505-1521,1998,The Rockefeller University Press
"Grill, Stephan W; Howard, Jonathon; Schaffer, Erik; Stelzer, Ernst HK; Hyman, Anthony A; ",The distribution of active force generators controls mitotic spindle position,Science,301,5632,518-521,2003,American Association for the Advancement of Science
"Keller, Philipp J; Schmidt, Annette D; Santella, Anthony; Khairy, Khaled; Bao, Zhirong; Wittbrodt, Joachim; Stelzer, Ernst HK; ","Fast, high-contrast imaging of animal development with scanned light sheet–based structured-illumination microscopy",Nature methods,7,8,637-642,2010,Nature Publishing Group US New York
"Verveer, Peter J; Swoger, Jim; Pampaloni, Francesco; Greger, Klaus; Marcello, Marco; Stelzer, Ernst HK; ",High-resolution three-dimensional imaging of large specimens with light sheet–based microscopy,Nature methods,4,4,311-313,2007,Nature Publishing Group US New York
"Godoy, Patricio; Hewitt, Nicola J; Albrecht, Ute; Andersen, Melvin E; Ansari, Nariman; Bhattacharya, Sudin; Bode, Johannes Georg; Bolleyn, Jennifer; Borner, Christoph; Boettger, Jan; ","Recent advances in 2D and 3D in vitro systems using primary hepatocytes, alternative hepatocyte sources and non-parenchymal liver cells and their use in investigating mechanisms of hepatotoxicity, cell signaling and ADME",Archives of toxicology,87,,1315-1530,2013,Springer Berlin Heidelberg
